name,Wikipedia Link,location,status,security,security_class_cleaned,capacity,capacity_cleaned,pop,pop_cleaned,pop_measured_time,opened,year_opened,Notes Section,closed,managed_by,director,built,built by
"Metropolitan Detention Center, Los Angeles","https://en.wikipedia.org/wiki/Metropolitan_Detention_Center,_Los_Angeles","Los Angeles, California",Operational,Administrative facility (all security levels),administrative,1100,1100,547,547,2020,1988,1988,https://www.bop.gov/locations/institutions/los/,,Federal Bureau of Prisons,,,
Sterling Correctional Facility,https://en.wikipedia.org/wiki/Sterling_Correctional_Facility,"Sterling, Colorado",,level 5 (admin),administrative,2585,2585,2321,2321,April 2020,,,https://drive.google.com/file/d/1k7k2-oQctPRxRnjrAYL3YiV1uOIUTFva/view,,Colorado Department of Corrections,,,
Northern Correctional Institution,https://en.wikipedia.org/wiki/Northern_Correctional_Institution,"Somers, Connecticut",Open,level 5 (admin),administrative,500,500,211,211,May 2020,"March, 1995",1995,https://portal.ct.gov/-/media/DOC/Pdf/MonthlyStat/Stat05012020.pdf?la=en,,Connecticut Department of Correction,[1] 1995-1995	David May 1995-1996	Robert Kupec 1996-1999	Giovanny Gomez 1999-2003	Larry J. Myers 2003-2006 Wayne Choinski 2006-2009	Jeffrey McGill 2009-2011 Angel Quiros 2011-2014 Edward Maldonado 2014- 2016 Anne Cournoyer 2016- current. Geoffery Pelkey,,
Howard R. Young Correctional Institution,https://en.wikipedia.org/wiki/Howard_R._Young_Correctional_Institution,"1301 E 12th Street Wilmington, Delaware",open,level 5,administrative,1500,1500,1351,1351,2019,1982,1982,"Website has no pop info for 2020
https://doc.delaware.gov/assets/documents/annual_report/DOC_2019AnnualReport.pdf",,Delaware Department of Correction,,,
"Federal Detention Center, Miami","https://en.wikipedia.org/wiki/Federal_Detention_Center,_Miami","Miami, Florida",Operational,Administrative,administrative,,,"1,380[1]",1026,2020,1995[2],1955,https://www.bop.gov/locations/institutions/mim/index.jsp,,Federal Bureau of Prisons,,,
"Federal Medical Center, Lexington","https://en.wikipedia.org/wiki/Federal_Medical_Center,_Lexington","Fayette County, Kentucky",Operational,Administrative facility (with minimum-security prison camp),administrative,NA,,"1,950 (330 in prison camp)",1379,2020,1935 (designated as federal prison in 1974),1935,https://www.bop.gov/locations/institutions/lex/,,Federal Bureau of Prisons,,,
"Federal Detention Center, Oakdale","https://en.wikipedia.org/wiki/Federal_Detention_Center,_Oakdale","Allen Parish, Louisiana",Operational,Administrative,administrative,NA,,"(as of Feb. 1, 2017): Main: 897; Camp: 167",1064,2017,,,https://www.prisonerresource.com/resources/federal-prison-profiles/south-central-region-scr/federal-correctional-complex-oakdale-fcc-oakdale/federal-detention-center-oakdale-fdc-oakdale/,,Federal Bureau of Prisons,,,
"Federal Medical Center, Devens","https://en.wikipedia.org/wiki/Federal_Medical_Center,_Devens","Devens, Town of Harvard,Worcester County, Massachusetts",Operational,Administrative facility (with minimum-security prison camp),administrative,,,"1,167 (114 in prison camp)",967,2020,January 1999,1999,https://www.bop.gov/locations/institutions/dev/index.jsp,,Federal Bureau of Prisons,,,
Detroit Detention Center,https://en.wikipedia.org/wiki/Detroit_Detention_Center,"Detroit, Michigan",Open,Detention center,administrative,200,200,,,,August 2013,2013,,,"Detroit Police Department, Michigan Department of Corrections",,,
"Federal Medical Center, Rochester","https://en.wikipedia.org/wiki/Federal_Medical_Center,_Rochester","Rochester, Minnesota, U.S.",Operational,Medical,administrative,NA,,"674 (as of October 2, 2016)",672,2020,1984,1984,https://www.bop.gov/locations/institutions/rch/index.jsp,,Federal Bureau of Prisons,,,
