date,ML,Low_90,High_90,facility,state,county
2020-04-21,0.47000000000000003,0.0,5.54,Richard J. Donovan Correctional Facility (RJD),California,San Diego
2020-04-30,0.45,0.0,4.23,Richard J. Donovan Correctional Facility (RJD),California,San Diego
2020-05-01,0.49,0.0,4.04,Richard J. Donovan Correctional Facility (RJD),California,San Diego
2020-05-05,0.51,0.0,3.89,Richard J. Donovan Correctional Facility (RJD),California,San Diego
2020-04-02,0.47000000000000003,0.0,5.54,Duane Waters Health Center,Michigan,Jackson
2020-04-03,0.53,0.0,4.7700000000000005,Duane Waters Health Center,Michigan,Jackson
2020-04-06,0.5700000000000001,0.0,4.3,Duane Waters Health Center,Michigan,Jackson
2020-04-09,1.57,0.0,4.37,Duane Waters Health Center,Michigan,Jackson
2020-04-10,1.31,0.0,3.94,Duane Waters Health Center,Michigan,Jackson
2020-04-11,1.78,0.0,3.92,Duane Waters Health Center,Michigan,Jackson
2020-04-14,1.58,0.0,3.58,Duane Waters Health Center,Michigan,Jackson
2020-04-15,1.45,0.0,3.33,Duane Waters Health Center,Michigan,Jackson
2020-04-22,1.02,0.0,2.96,Duane Waters Health Center,Michigan,Jackson
2020-04-23,0.98,0.0,2.87,Duane Waters Health Center,Michigan,Jackson
2020-04-27,0.9400000000000001,0.0,2.8000000000000003,Duane Waters Health Center,Michigan,Jackson
2020-04-28,0.63,0.0,2.58,Duane Waters Health Center,Michigan,Jackson
2020-04-30,0.63,0.0,2.56,Duane Waters Health Center,Michigan,Jackson
2020-05-02,0.63,0.0,2.54,Duane Waters Health Center,Michigan,Jackson
2020-05-09,0.63,0.0,2.5300000000000002,Duane Waters Health Center,Michigan,Jackson
2020-05-10,0.64,0.0,2.5100000000000002,Duane Waters Health Center,Michigan,Jackson
2020-04-22,0.46,0.0,7.1000000000000005,California Men's Colony (CMC),California,San Luis Obispo
2020-04-23,3.0100000000000002,0.0,7.11,California Men's Colony (CMC),California,San Luis Obispo
2020-04-24,2.27,0.0,5.76,California Men's Colony (CMC),California,San Luis Obispo
2020-04-30,1.8900000000000001,0.0,5.0200000000000005,California Men's Colony (CMC),California,San Luis Obispo
2020-05-03,1.61,0.0,4.54,California Men's Colony (CMC),California,San Luis Obispo
2020-05-04,2.15,0.0,4.57,California Men's Colony (CMC),California,San Luis Obispo
2020-04-06,0.46,0.0,7.1000000000000005,"California State Prison, Sacramento (SAC)",California,Sacramento
2020-04-06,0.46,0.0,7.1000000000000005,Milwaukee Secure Detention Facility,Wisconsin,Milwaukee
2020-04-09,0.51,0.0,6.15,Milwaukee Secure Detention Facility,Wisconsin,Milwaukee
2020-04-13,0.55,0.0,5.55,Milwaukee Secure Detention Facility,Wisconsin,Milwaukee
2020-04-20,0.58,0.0,5.11,Milwaukee Secure Detention Facility,Wisconsin,Milwaukee
2020-04-21,0.6,0.0,4.79,Milwaukee Secure Detention Facility,Wisconsin,Milwaukee
2020-04-22,0.62,0.0,4.53,Milwaukee Secure Detention Facility,Wisconsin,Milwaukee
2020-04-24,0.64,0.0,4.33,Milwaukee Secure Detention Facility,Wisconsin,Milwaukee
2020-05-10,0.66,0.0,4.16,Milwaukee Secure Detention Facility,Wisconsin,Milwaukee
2020-04-06,0.46,0.0,7.1000000000000005,"California Substance Abuse Treatment Facility and State Prison, Corcoran (SATF)",California,Kings
2020-04-24,0.51,0.0,6.15,"California Substance Abuse Treatment Facility and State Prison, Corcoran (SATF)",California,Kings
2020-04-29,0.55,0.0,5.55,"California Substance Abuse Treatment Facility and State Prison, Corcoran (SATF)",California,Kings
2020-04-17,0.46,0.0,7.1000000000000005,California Correctional Institution (CCI),California,Kern
2020-04-20,0.51,0.0,6.15,California Correctional Institution (CCI),California,Kern
2020-04-21,0.55,0.0,5.55,California Correctional Institution (CCI),California,Kern
2020-04-23,0.58,0.0,5.11,California Correctional Institution (CCI),California,Kern
2020-04-24,0.6,0.0,4.79,California Correctional Institution (CCI),California,Kern
2020-04-30,0.62,0.0,4.53,California Correctional Institution (CCI),California,Kern
2020-04-29,0.46,0.0,7.1000000000000005,Washington State Penitentiary,Washington,Walla Walla
2020-05-05,0.51,0.0,6.15,Washington State Penitentiary,Washington,Walla Walla
2020-04-04,7.42,2.4,11.41,Blackwater River Correctional Facility,Florida,Santa Rosa
2020-04-05,4.57,0.85,7.57,Blackwater River Correctional Facility,Florida,Santa Rosa
2020-04-06,4.04,1.06,6.48,Blackwater River Correctional Facility,Florida,Santa Rosa
2020-04-09,2.99,0.54,4.98,Blackwater River Correctional Facility,Florida,Santa Rosa
2020-04-11,2.47,0.32,4.18,Blackwater River Correctional Facility,Florida,Santa Rosa
2020-04-13,1.74,0.04,3.2600000000000002,Blackwater River Correctional Facility,Florida,Santa Rosa
2020-04-14,1.41,0.0,2.91,Blackwater River Correctional Facility,Florida,Santa Rosa
2020-04-16,0.7000000000000001,0.0,2.5300000000000002,Blackwater River Correctional Facility,Florida,Santa Rosa
2020-04-18,0.66,0.0,2.5300000000000002,Blackwater River Correctional Facility,Florida,Santa Rosa
2020-04-19,0.66,0.0,2.52,Blackwater River Correctional Facility,Florida,Santa Rosa
2020-04-20,0.66,0.0,2.5100000000000002,Blackwater River Correctional Facility,Florida,Santa Rosa
2020-04-22,0.66,0.0,2.5,Blackwater River Correctional Facility,Florida,Santa Rosa
2020-04-25,0.66,0.0,2.49,Blackwater River Correctional Facility,Florida,Santa Rosa
2020-04-27,0.66,0.0,2.48,Blackwater River Correctional Facility,Florida,Santa Rosa
2020-04-29,0.89,0.0,2.62,Blackwater River Correctional Facility,Florida,Santa Rosa
2020-05-09,0.88,0.0,2.58,Blackwater River Correctional Facility,Florida,Santa Rosa
2020-05-10,0.86,0.0,2.54,Blackwater River Correctional Facility,Florida,Santa Rosa
2020-05-11,0.84,0.0,2.5100000000000002,Blackwater River Correctional Facility,Florida,Santa Rosa
2020-04-14,0.47000000000000003,0.0,5.54,ALL MISSISSIPPI STATE FACILITIES,Mississippi,Oktibbeha
2020-04-18,0.53,0.0,4.7700000000000005,ALL MISSISSIPPI STATE FACILITIES,Mississippi,Oktibbeha
2020-04-20,0.5700000000000001,0.0,4.3,ALL MISSISSIPPI STATE FACILITIES,Mississippi,Oktibbeha
2020-04-06,0.5,0.0,3.96,California Institution for Men (CIM),California,San Bernardino
2020-04-07,0.58,0.0,3.43,California Institution for Men (CIM),California,San Bernardino
2020-04-08,0.65,0.0,3.11,California Institution for Men (CIM),California,San Bernardino
2020-04-09,0.7000000000000001,0.0,2.9,California Institution for Men (CIM),California,San Bernardino
2020-04-10,0.75,0.0,2.74,California Institution for Men (CIM),California,San Bernardino
2020-04-11,1.05,0.0,2.7800000000000002,California Institution for Men (CIM),California,San Bernardino
2020-04-12,1.03,0.0,2.64,California Institution for Men (CIM),California,San Bernardino
2020-04-13,1.01,0.0,2.5300000000000002,California Institution for Men (CIM),California,San Bernardino
2020-04-14,0.78,0.0,2.33,California Institution for Men (CIM),California,San Bernardino
2020-04-15,0.77,0.0,2.29,California Institution for Men (CIM),California,San Bernardino
2020-04-17,0.76,0.0,2.2600000000000002,California Institution for Men (CIM),California,San Bernardino
2020-04-18,0.75,0.0,2.23,California Institution for Men (CIM),California,San Bernardino
2020-04-20,0.93,0.0,2.31,California Institution for Men (CIM),California,San Bernardino
2020-04-21,1.08,0.0,2.37,California Institution for Men (CIM),California,San Bernardino
2020-04-22,1.05,0.0,2.31,California Institution for Men (CIM),California,San Bernardino
2020-04-24,1.02,0.0,2.2600000000000002,California Institution for Men (CIM),California,San Bernardino
2020-04-25,1.1300000000000001,0.0,2.31,California Institution for Men (CIM),California,San Bernardino
2020-04-26,1.1,0.0,2.2600000000000002,California Institution for Men (CIM),California,San Bernardino
2020-04-27,1.18,0.03,2.32,California Institution for Men (CIM),California,San Bernardino
2020-04-29,1.1400000000000001,0.05,2.2800000000000002,California Institution for Men (CIM),California,San Bernardino
2020-04-30,1.21,0.04,2.3000000000000003,California Institution for Men (CIM),California,San Bernardino
2020-05-01,1.6400000000000001,0.31,2.77,California Institution for Men (CIM),California,San Bernardino
2020-05-02,1.99,0.73,3.14,California Institution for Men (CIM),California,San Bernardino
2020-05-03,2.43,1.29,3.49,California Institution for Men (CIM),California,San Bernardino
2020-05-04,2.48,1.41,3.4,California Institution for Men (CIM),California,San Bernardino
2020-05-05,2.17,1.21,3.04,California Institution for Men (CIM),California,San Bernardino
2020-05-06,1.95,1.02,2.7600000000000002,California Institution for Men (CIM),California,San Bernardino
2020-05-08,1.57,0.67,2.36,California Institution for Men (CIM),California,San Bernardino
2020-05-09,1.19,0.29,1.95,California Institution for Men (CIM),California,San Bernardino
2020-05-10,0.96,0.09,1.68,California Institution for Men (CIM),California,San Bernardino
2020-05-11,0.67,0.0,1.42,California Institution for Men (CIM),California,San Bernardino
2020-05-12,0.42,0.0,1.28,California Institution for Men (CIM),California,San Bernardino
2020-05-13,0.34,0.0,1.2,California Institution for Men (CIM),California,San Bernardino
2020-04-04,0.47000000000000003,0.0,5.54,OVERALL NEVADA,Nevada,New York
2020-04-21,2.08,0.0,5.3500000000000005,OVERALL NEVADA,Nevada,New York
2020-04-25,1.7,0.0,4.54,OVERALL NEVADA,Nevada,New York
2020-04-30,2.07,0.0,4.4,OVERALL NEVADA,Nevada,New York
2020-05-03,2.2,0.04,4.21,OVERALL NEVADA,Nevada,New York
